scale_set,layers,topk,noise_type,p,val_acc
quantum_strict,4,Z_first|Y_first|X_first,depolarize,0.0,0.75
quantum_strict,4,Z_first|Y_first|X_first,depolarize,0.01,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,depolarize,0.02,0.75
quantum_strict,4,Z_first|Y_first|X_first,depolarize,0.05,0.75
quantum_strict,4,Z_first|Y_first|X_first,depolarize,0.1,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,bit_flip,0.0,0.75
quantum_strict,4,Z_first|Y_first|X_first,bit_flip,0.01,0.75
quantum_strict,4,Z_first|Y_first|X_first,bit_flip,0.02,0.75
quantum_strict,4,Z_first|Y_first|X_first,bit_flip,0.05,0.75
quantum_strict,4,Z_first|Y_first|X_first,bit_flip,0.1,0.75
quantum_strict,4,Z_first|Y_first|X_first,phase_flip,0.0,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,phase_flip,0.01,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,phase_flip,0.02,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,phase_flip,0.05,0.75
quantum_strict,4,Z_first|Y_first|X_first,phase_flip,0.1,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,amplitude_damp,0.0,0.75
quantum_strict,4,Z_first|Y_first|X_first,amplitude_damp,0.01,0.75
quantum_strict,4,Z_first|Y_first|X_first,amplitude_damp,0.02,0.800000011920929
quantum_strict,4,Z_first|Y_first|X_first,amplitude_damp,0.05,0.75
quantum_strict,4,Z_first|Y_first|X_first,amplitude_damp,0.1,0.75
