fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
6.666666666666666574e-02,0.000000000000000000e+00,5.573242902755737305e-01
2.666666666666666630e-01,0.000000000000000000e+00,5.360858440399169922e-01
2.666666666666666630e-01,6.666666666666666574e-02,5.010834932327270508e-01
3.333333333333333148e-01,6.666666666666666574e-02,4.907979071140289307e-01
3.333333333333333148e-01,2.000000000000000111e-01,4.872345626354217529e-01
4.000000000000000222e-01,2.000000000000000111e-01,4.843152761459350586e-01
4.000000000000000222e-01,3.333333333333333148e-01,4.826102852821350098e-01
4.666666666666666741e-01,3.333333333333333148e-01,4.823472499847412109e-01
4.666666666666666741e-01,4.000000000000000222e-01,4.819697737693786621e-01
5.333333333333333259e-01,4.000000000000000222e-01,4.812918603420257568e-01
5.333333333333333259e-01,4.666666666666666741e-01,4.810555577278137207e-01
5.999999999999999778e-01,4.666666666666666741e-01,4.797948598861694336e-01
5.999999999999999778e-01,8.000000000000000444e-01,4.620538055896759033e-01
6.666666666666666297e-01,8.000000000000000444e-01,4.592685997486114502e-01
6.666666666666666297e-01,1.000000000000000000e+00,4.514321088790893555e-01
1.000000000000000000e+00,1.000000000000000000e+00,4.212826490402221680e-01
